iter	Logloss
0	0.6874009137
1	0.6819725566
2	0.6760250191
3	0.6704759395
4	0.6645476687
5	0.6595762548
6	0.6546602527
7	0.6498234506
8	0.6442205534
9	0.6394914854
10	0.6341923169
11	0.6295785662
12	0.6249752678
13	0.6212228269
14	0.6162919666
15	0.6116712091
16	0.6069081592
17	0.6028887736
18	0.5989766845
19	0.5942119978
20	0.5897950903
21	0.5859645806
22	0.5819292376
23	0.5778988983
24	0.5741251858
25	0.5705786415
26	0.5671993923
27	0.5636971675
28	0.5596241137
29	0.5557562726
30	0.5525443991
31	0.5489096237
32	0.545985496
33	0.5428677173
34	0.5397651425
35	0.5366341968
36	0.5336184678
37	0.5304263497
38	0.5276392124
39	0.5252049638
40	0.522916572
41	0.5208350942
42	0.5180343829
43	0.5155096201
44	0.5131929385
45	0.510933244
46	0.5088412834
47	0.5066606025
48	0.5040267649
49	0.5018187774
50	0.4993678989
51	0.4971033183
52	0.4957131713
53	0.4939100483
54	0.491404075
55	0.4893050659
56	0.4876359983
57	0.4852277606
58	0.4839826062
59	0.4817710392
60	0.4798865634
61	0.4781722356
62	0.4762184339
63	0.4738287749
64	0.4721072699
65	0.4706272705
66	0.4691743425
67	0.4676874589
68	0.4657965563
69	0.4640884539
70	0.4627237587
71	0.4611521546
72	0.460175899
73	0.4592394703
74	0.458071859
75	0.4564082958
76	0.4549415773
77	0.4536796854
78	0.4523583773
79	0.4508407172
80	0.4497835967
81	0.4479584797
82	0.446673778
83	0.4460373542
84	0.4443265163
85	0.4429807052
86	0.4420132071
87	0.4411472555
88	0.4401661699
89	0.4391068048
90	0.4379125424
91	0.4368352997
92	0.4355745227
93	0.4343497139
94	0.4330715644
95	0.4319413472
96	0.4309617247
97	0.4297656917
98	0.42839181
99	0.4277353942
100	0.426486291
101	0.4255697164
102	0.4244810834
103	0.4235309521
104	0.422569988
105	0.4217796131
106	0.4207384318
107	0.4198189624
108	0.4192990893
109	0.4180563407
110	0.4177090543
111	0.4166555801
112	0.4156415953
113	0.414584382
114	0.4138738026
115	0.4128177688
116	0.4119189796
117	0.4112637914
118	0.4103099477
119	0.4095687381
120	0.4088686001
121	0.4082145128
122	0.4076857527
123	0.4070295677
124	0.4063466089
125	0.4057850769
126	0.4047653931
127	0.4038634898
128	0.4034608781
129	0.4025592727
